sim,final_equity,return_pct
0,16326.67330932294,63.2667330932294
1,18959.55082310907,89.59550823109072
2,18959.55082310907,89.59550823109072
3,14777.834841563385,47.77834841563385
4,14777.834841563397,47.77834841563398
5,18959.550823109064,89.59550823109065
6,14777.834841563388,47.77834841563388
7,15532.96113679989,55.3296113679989
8,13375.927751296515,33.75927751296515
9,17160.943042459392,71.60943042459392
10,16326.673309322941,63.26673309322941
11,17160.943042459392,71.60943042459392
12,12107.013315962617,21.070133159626167
13,17160.943042459403,71.60943042459404
14,20946.667471867553,109.46667471867553
15,20946.667471867553,109.46667471867553
16,12725.664438382013,27.256644383820127
17,16326.673309322943,63.26673309322943
18,18037.842769743525,80.37842769743526
19,17160.943042459396,71.60943042459395
20,16326.673309322945,63.266733093229455
21,14777.834841563397,47.77834841563398
22,14777.834841563394,47.778348415633936
23,18959.55082310907,89.59550823109072
24,19928.356844146445,99.28356844146445
25,19928.356844146445,99.28356844146445
26,14777.834841563397,47.77834841563398
27,16326.673309322943,63.26673309322943
28,16326.673309322945,63.266733093229455
29,16326.673309322947,63.26673309322947
30,19928.356844146434,99.28356844146434
31,17160.9430424594,71.609430424594
32,18959.550823109053,89.59550823109053
33,13375.927751296522,33.75927751296522
34,14777.83484156339,47.7783484156339
35,15532.96113679989,55.3296113679989
36,17160.943042459396,71.60943042459395
37,14777.83484156339,47.7783484156339
38,18959.55082310907,89.59550823109072
39,14059.418592578577,40.59418592578577
40,19928.356844146434,99.28356844146434
41,22017.01232110723,120.17012321107232
42,16326.673309322943,63.26673309322943
43,16326.673309322943,63.26673309322943
44,23142.05026641255,131.42050266412548
45,12725.664438382026,27.256644383820255
46,22017.01232110723,120.17012321107232
47,18959.550823109083,89.59550823109083
48,12107.013315962618,21.070133159626184
49,12725.664438382018,27.256644383820184
50,15532.961136799891,55.32961136799891
51,15532.961136799886,55.32961136799885
52,14059.41859257858,40.5941859257858
53,15532.961136799879,55.32961136799879
54,18037.842769743536,80.37842769743536
55,11518.437574921049,15.184375749210485
56,19928.35684414644,99.28356844146441
57,22017.01232110724,120.1701232110724
58,15532.961136799897,55.329611367998965
59,14777.834841563397,47.77834841563398
60,15532.961136799886,55.32961136799885
61,17160.9430424594,71.609430424594
62,16326.673309322941,63.26673309322941
63,18037.842769743533,80.37842769743533
64,18037.84276974352,80.37842769743521
65,19928.35684414645,99.28356844146448
66,16326.673309322941,63.26673309322941
67,17160.9430424594,71.609430424594
68,14777.834841563394,47.778348415633936
69,11518.43757492105,15.184375749210503
70,14777.834841563385,47.77834841563385
71,13375.92775129651,33.759277512965106
72,17160.943042459396,71.60943042459395
73,26873.99140438788,168.73991404387883
74,10958.475117263417,9.584751172634169
75,15532.961136799886,55.32961136799885
76,15532.961136799886,55.32961136799885
77,19928.356844146434,99.28356844146434
78,15532.96113679989,55.3296113679989
79,28247.214057434267,182.47214057434266
80,18959.55082310908,89.59550823109079
81,14777.834841563403,47.77834841563403
82,12725.664438382018,27.256644383820184
83,16326.673309322961,63.26673309322961
84,17160.943042459385,71.60943042459384
85,15532.96113679989,55.3296113679989
86,12725.664438382028,27.256644383820277
87,17160.9430424594,71.609430424594
88,22017.01232110722,120.17012321107221
89,15532.961136799891,55.32961136799891
90,19928.356844146445,99.28356844146445
91,14777.834841563394,47.778348415633936
92,20946.66747186755,109.4666747186755
93,18037.842769743536,80.37842769743536
94,22017.01232110724,120.1701232110724
95,17160.943042459396,71.60943042459395
96,18037.842769743533,80.37842769743533
97,17160.943042459392,71.60943042459392
98,14777.834841563395,47.77834841563396
99,24324.57604702985,143.24576047029848
100,16326.673309322947,63.26673309322947
101,18037.842769743544,80.37842769743544
102,15532.961136799886,55.32961136799885
103,16326.673309322952,63.26673309322952
104,31207.754096502944,212.0775409650294
105,14777.834841563397,47.77834841563398
106,18959.550823109083,89.59550823109083
107,14777.834841563386,47.778348415633864
108,17160.943042459403,71.60943042459404
109,18959.550823109068,89.59550823109068
110,16326.673309322947,63.26673309322947
111,16326.673309322941,63.26673309322941
112,17160.943042459396,71.60943042459395
113,14777.834841563397,47.77834841563398
114,10958.475117263415,9.584751172634151
115,14059.41859257859,40.594185925785894
116,14059.418592578582,40.59418592578582
117,16326.673309322945,63.266733093229455
118,16326.673309322945,63.266733093229455
119,16326.673309322936,63.266733093229355
120,17160.9430424594,71.609430424594
121,20946.667471867542,109.46667471867542
122,20946.667471867535,109.46667471867535
123,18037.842769743525,80.37842769743526
124,20946.66747186755,109.4666747186755
125,15532.96113679989,55.3296113679989
126,14777.834841563386,47.778348415633864
127,15532.961136799888,55.32961136799888
128,18037.84276974352,80.37842769743521
129,14777.834841563386,47.778348415633864
130,16326.673309322941,63.26673309322941
131,14777.834841563388,47.77834841563388
132,20946.667471867542,109.46667471867542
133,14777.834841563395,47.77834841563396
134,17160.943042459385,71.60943042459384
135,14777.83484156339,47.7783484156339
136,15532.96113679989,55.3296113679989
137,19928.356844146445,99.28356844146445
138,10425.73492407928,4.2573492407927915
139,13375.92775129652,33.759277512965205
140,16326.673309322947,63.26673309322947
141,18959.55082310907,89.59550823109072
142,16326.673309322936,63.266733093229355
143,13375.92775129652,33.759277512965205
144,16326.673309322952,63.26673309322952
145,12107.013315962613,21.07013315962613
146,23142.050266412563,131.42050266412565
147,18037.84276974352,80.37842769743521
148,16326.67330932295,63.2667330932295
149,15532.961136799891,55.32961136799891
150,16326.673309322941,63.26673309322941
151,14777.834841563388,47.77834841563388
152,13375.927751296513,33.75927751296513
153,15532.961136799888,55.32961136799888
154,18037.842769743518,80.37842769743519
155,16326.673309322934,63.26673309322934
156,16326.673309322941,63.26673309322941
157,18037.84276974352,80.37842769743521
158,15532.961136799888,55.32961136799888
159,12725.664438382017,27.256644383820166
160,14059.418592578575,40.59418592578575
161,16326.673309322945,63.266733093229455
162,16326.673309322945,63.266733093229455
163,12725.664438382011,27.25664438382011
164,17160.943042459392,71.60943042459392
165,18037.842769743525,80.37842769743526
166,16326.67330932294,63.2667330932294
167,14777.83484156339,47.7783484156339
168,12107.013315962617,21.070133159626167
169,12725.664438382018,27.256644383820184
170,14059.418592578582,40.59418592578582
171,14777.834841563397,47.77834841563398
172,18959.55082310907,89.59550823109072
173,18959.55082310906,89.5955082310906
174,18037.842769743533,80.37842769743533
175,15532.96113679989,55.3296113679989
176,10958.47511726342,9.584751172634205
177,20946.66747186755,109.4666747186755
178,19928.35684414643,99.2835684414643
179,14777.83484156339,47.7783484156339
180,18037.84276974353,80.3784276974353
181,15532.961136799877,55.329611367998766
182,17160.943042459396,71.60943042459395
183,20946.667471867553,109.46667471867553
184,17160.9430424594,71.609430424594
185,15532.961136799884,55.329611367998844
186,15532.96113679989,55.3296113679989
187,11518.437574921052,15.18437574921052
188,13375.927751296515,33.75927751296515
189,14777.83484156339,47.7783484156339
190,12725.66443838202,27.256644383820205
191,15532.961136799888,55.32961136799888
192,14059.418592578588,40.59418592578587
193,17160.943042459385,71.60943042459384
194,14777.834841563383,47.77834841563383
195,18037.84276974353,80.3784276974353
196,17160.94304245938,71.60943042459381
197,14777.83484156339,47.7783484156339
198,14777.834841563397,47.77834841563398
199,23142.050266412556,131.42050266412556
200,14777.834841563388,47.77834841563388
201,14777.834841563397,47.77834841563398
202,20946.66747186755,109.4666747186755
203,18959.55082310907,89.59550823109072
204,18037.842769743525,80.37842769743526
205,16326.673309322932,63.26673309322932
206,12725.664438382022,27.256644383820223
207,14059.418592578586,40.59418592578586
208,19928.35684414644,99.28356844146441
209,16326.67330932294,63.2667330932294
210,13375.927751296522,33.75927751296522
211,15532.961136799895,55.32961136799896
212,13375.927751296516,33.75927751296516
213,14777.834841563386,47.778348415633864
